seed,episode,detector,fired,fired_at,ep_len
1,18,ztest,False,,442
1,19,ztest,False,,1000
1,0,page_hinkley,True,375.0,459
1,1,page_hinkley,True,192.0,1000
1,2,page_hinkley,True,28.0,609
1,3,page_hinkley,True,26.0,379
1,4,page_hinkley,True,128.0,1000
1,5,page_hinkley,True,109.0,1000
1,6,page_hinkley,True,25.0,572
1,7,page_hinkley,True,263.0,1000
1,8,page_hinkley,True,33.0,1000
1,9,page_hinkley,True,31.0,403
1,10,page_hinkley,True,27.0,705
1,11,page_hinkley,True,133.0,1000
1,12,page_hinkley,True,39.0,1000
1,13,page_hinkley,True,266.0,1000
1,14,page_hinkley,True,111.0,1000
1,15,page_hinkley,True,318.0,1000
1,16,page_hinkley,True,178.0,1000
1,17,page_hinkley,True,358.0,1000
1,18,page_hinkley,True,366.0,442
1,19,page_hinkley,True,101.0,1000
1,0,ewma,True,247.0,459
1,1,ewma,True,104.0,1000
1,2,ewma,True,27.0,609
1,3,ewma,True,25.0,379
1,4,ewma,True,37.0,1000
1,5,ewma,True,56.0,1000
1,6,ewma,True,24.0,572
1,7,ewma,True,66.0,1000
1,8,ewma,True,33.0,1000
1,9,ewma,True,30.0,403
1,10,ewma,True,25.0,705
1,11,ewma,True,81.0,1000
1,12,ewma,True,41.0,1000
1,13,ewma,True,44.0,1000
1,14,ewma,True,402.0,1000
1,15,ewma,True,102.0,1000
1,16,ewma,True,57.0,1000
1,17,ewma,True,161.0,1000
1,18,ewma,True,178.0,442
1,19,ewma,True,28.0,1000
2,0,ztest,False,,414
2,1,ztest,False,,466
2,2,ztest,False,,476
2,3,ztest,True,694.0,1000
2,4,ztest,False,,390
2,5,ztest,False,,576
2,6,ztest,False,,341
2,7,ztest,False,,1000
2,8,ztest,False,,1000
2,9,ztest,False,,1000
2,10,ztest,True,305.0,363
2,11,ztest,False,,1000
2,12,ztest,False,,1000
2,13,ztest,False,,393
2,14,ztest,False,,483
2,15,ztest,False,,423
2,16,ztest,False,,476
2,17,ztest,False,,1000
2,18,ztest,True,200.0,402
2,19,ztest,False,,1000
2,0,page_hinkley,True,107.0,414
2,1,page_hinkley,True,62.0,466
2,2,page_hinkley,True,29.0,476
2,3,page_hinkley,True,36.0,1000
2,4,page_hinkley,True,148.0,390
2,5,page_hinkley,True,162.0,576
2,6,page_hinkley,True,45.0,341
2,7,page_hinkley,True,151.0,1000
2,8,page_hinkley,True,314.0,1000
2,9,page_hinkley,True,125.0,1000
2,10,page_hinkley,True,27.0,363
2,11,page_hinkley,True,157.0,1000
2,12,page_hinkley,True,159.0,1000
2,13,page_hinkley,True,41.0,393
2,14,page_hinkley,True,28.0,483
2,15,page_hinkley,True,127.0,423
2,16,page_hinkley,True,25.0,476
2,17,page_hinkley,True,29.0,1000
2,18,page_hinkley,True,150.0,402
2,19,page_hinkley,True,153.0,1000
2,0,ewma,True,34.0,414
2,1,ewma,True,63.0,466
2,2,ewma,True,28.0,476
2,3,ewma,True,35.0,1000
2,4,ewma,True,59.0,390
2,5,ewma,True,92.0,576
2,6,ewma,True,46.0,341
2,7,ewma,True,25.0,1000
2,8,ewma,True,165.0,1000
2,9,ewma,True,30.0,1000
2,10,ewma,True,26.0,363
2,11,ewma,True,25.0,1000
2,12,ewma,True,31.0,1000
2,13,ewma,True,41.0,393
2,14,ewma,True,27.0,483
2,15,ewma,True,30.0,423
2,16,ewma,True,24.0,476
2,17,ewma,True,28.0,1000
2,18,ewma,True,24.0,402
2,19,ewma,True,55.0,1000
3,0,ztest,False,,364
3,1,ztest,False,,373
3,2,ztest,False,,459
3,3,ztest,False,,366
3,4,ztest,False,,368
3,5,ztest,False,,413
3,6,ztest,False,,402
3,7,ztest,False,,439
3,8,ztest,False,,390
3,9,ztest,False,,403
3,10,ztest,True,805.0,1000
3,11,ztest,False,,332
3,12,ztest,False,,407
3,13,ztest,False,,360
3,14,ztest,False,,425
3,15,ztest,False,,385
3,16,ztest,False,,390
3,17,ztest,False,,361
3,18,ztest,False,,375
3,19,ztest,False,,387
3,0,page_hinkley,True,109.0,364
3,1,page_hinkley,True,65.0,373
3,2,page_hinkley,True,105.0,459
3,3,page_hinkley,True,43.0,366
3,4,page_hinkley,True,144.0,368
3,5,page_hinkley,True,100.0,413
3,6,page_hinkley,True,32.0,402
3,7,page_hinkley,True,30.0,439
3,8,page_hinkley,True,114.0,390
3,9,page_hinkley,True,108.0,403
3,10,page_hinkley,True,150.0,1000
3,11,page_hinkley,True,38.0,332
3,12,page_hinkley,True,105.0,407
3,13,page_hinkley,True,121.0,360
3,14,page_hinkley,True,32.0,425
3,15,page_hinkley,True,100.0,385
3,16,page_hinkley,True,103.0,390
3,17,page_hinkley,True,110.0,361
3,18,page_hinkley,True,123.0,375
3,19,page_hinkley,True,102.0,387
3,0,ewma,True,30.0,364
3,1,ewma,True,210.0,373
3,2,ewma,True,31.0,459
3,3,ewma,True,45.0,366
3,4,ewma,True,30.0,368
3,5,ewma,True,99.0,413
3,6,ewma,True,31.0,402
3,7,ewma,True,30.0,439
3,8,ewma,True,38.0,390
3,9,ewma,True,30.0,403
3,10,ewma,True,41.0,1000
3,11,ewma,True,38.0,332
3,12,ewma,True,44.0,407
3,13,ewma,True,26.0,360
3,14,ewma,True,31.0,425
3,15,ewma,True,54.0,385
3,16,ewma,True,35.0,390
3,17,ewma,True,30.0,361
3,18,ewma,True,26.0,375
3,19,ewma,True,29.0,387
4,0,ztest,False,,417
4,1,ztest,False,,604
4,2,ztest,False,,427
4,3,ztest,False,,400
4,4,ztest,False,,418
4,5,ztest,False,,410
4,6,ztest,False,,406
4,7,ztest,False,,413
4,8,ztest,True,207.0,357
4,9,ztest,False,,671
4,10,ztest,False,,409
4,11,ztest,False,,401
4,12,ztest,False,,1000
4,13,ztest,True,322.0,357
4,14,ztest,False,,449
4,15,ztest,False,,395
4,16,ztest,False,,380
4,17,ztest,False,,479
4,18,ztest,False,,443
4,19,ztest,False,,415
4,0,page_hinkley,True,135.0,417
4,1,page_hinkley,True,227.0,604
4,2,page_hinkley,True,247.0,427
4,3,page_hinkley,True,245.0,400
4,4,page_hinkley,True,24.0,418
4,5,page_hinkley,True,218.0,410
4,6,page_hinkley,True,218.0,406
4,7,page_hinkley,True,26.0,413
4,8,page_hinkley,True,41.0,357
4,9,page_hinkley,True,26.0,671
4,10,page_hinkley,True,35.0,409
4,11,page_hinkley,True,149.0,401
4,12,page_hinkley,True,24.0,1000
4,13,page_hinkley,True,161.0,357
4,14,page_hinkley,True,30.0,449
4,15,page_hinkley,True,164.0,395
4,16,page_hinkley,True,31.0,380
4,17,page_hinkley,True,36.0,479
4,18,page_hinkley,True,28.0,443
4,19,page_hinkley,True,24.0,415
4,0,ewma,True,189.0,417
4,1,ewma,True,61.0,604
4,2,ewma,True,37.0,427
4,3,ewma,True,44.0,400
4,4,ewma,True,23.0,418
4,5,ewma,True,38.0,410
4,6,ewma,True,30.0,406
4,7,ewma,True,25.0,413
4,8,ewma,True,23.0,357
4,9,ewma,True,25.0,671
4,10,ewma,True,34.0,409
4,11,ewma,True,39.0,401
4,12,ewma,True,23.0,1000
4,13,ewma,True,39.0,357
4,14,ewma,True,29.0,449
4,15,ewma,True,57.0,395
4,16,ewma,True,30.0,380
4,17,ewma,True,37.0,479
4,18,ewma,True,27.0,443
4,19,ewma,True,23.0,415
